2022-09-05 09:39:16.024 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2022-09-05 09:39:16.090 [restartedMain] INFO  com.postsystem.demo.PostCommentApiApplication - Starting PostCommentApiApplication using Java 17.0.4 on B1709-Keosambo with PID 18752 (C:\Users\keosambo.met\Documents\workspace-spring-tool-suite-4-4.15.3.RELEASE\post-comment-api\bin\main started by keosambo.met in C:\Users\keosambo.met\Documents\workspace-spring-tool-suite-4-4.15.3.RELEASE\post-comment-api)
2022-09-05 09:39:16.091 [restartedMain] INFO  com.postsystem.demo.PostCommentApiApplication - No active profile set, falling back to 1 default profile: "default"
2022-09-05 09:39:16.152 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-09-05 09:39:16.152 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-09-05 09:39:17.727 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 6666 (http)
2022-09-05 09:39:17.855 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1702 ms
2022-09-05 09:39:19.406 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c5d2a4b, org.springframework.security.web.context.SecurityContextPersistenceFilter@372c652c, org.springframework.security.web.header.HeaderWriterFilter@7cccd3ce, org.springframework.security.web.csrf.CsrfFilter@4fc20b39, org.springframework.security.web.authentication.logout.LogoutFilter@753194ba, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5748e709, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@21adc49d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6259007c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3b0cd45d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@36a288ce, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3fc01c8e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3faa9e56, org.springframework.security.web.session.SessionManagementFilter@660d2c2d, org.springframework.security.web.access.ExceptionTranslationFilter@42c9eabd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c1905eb]
2022-09-05 09:39:19.467 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-09-05 09:39:19.505 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 6666 (http) with context path ''
2022-09-05 09:39:19.524 [restartedMain] INFO  com.postsystem.demo.PostCommentApiApplication - Started PostCommentApiApplication in 3.93 seconds (JVM running for 4.9)
2022-09-05 09:40:01.113 [RMI TCP Connection(4)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
